X (Angstroms)	Y (Angstroms)	rho/rho_ideal_gas
-18.613861	-6.336634	0.925662	-0.074338
-18.613861	-5.940594	1.019268	0.019268
-18.613861	-5.544554	0.915261	-0.084739
-18.613861	-5.148515	0.925662	-0.074338
-18.613861	-4.752475	0.925662	-0.074338
-18.613861	-4.356436	1.092073	0.092073
-18.613861	-3.960396	0.977665	-0.022335
-18.613861	-3.564356	1.060871	0.060871
-18.613861	-3.168317	0.988066	-0.011934
-18.613861	-2.772277	0.946463	-0.053537
-18.613861	-2.376238	0.967264	-0.032736
-18.613861	-1.980198	0.780052	-0.219948
-18.613861	-1.584158	0.977665	-0.022335
-18.613861	-1.188119	0.936062	-0.063938
-18.613861	-0.792079	1.081672	0.081672
-18.613861	-0.396040	1.123275	0.123275
-18.613861	0.000000	0.800853	-0.199147
-18.613861	0.396040	0.988066	-0.011934
-18.613861	0.792079	0.946463	-0.053537
-18.613861	1.188119	0.915261	-0.084739
-18.613861	1.584158	0.967264	-0.032736
-18.613861	1.980198	0.863258	-0.136742
-18.613861	2.376238	0.832055	-0.167945
-18.613861	2.772277	0.936062	-0.063938
-18.613861	3.168317	0.884059	-0.115941
-18.613861	3.564356	0.894460	-0.105540
-18.613861	3.960396	0.946463	-0.053537
-18.613861	4.356436	0.873658	-0.126342
-18.613861	4.752475	0.925662	-0.074338
-18.613861	5.148515	0.977665	-0.022335
-18.613861	5.544554	1.164878	0.164878
-18.613861	5.940594	0.821655	-0.178345
-18.613861	6.336634	0.956864	-0.043136
-18.613861	6.732673	1.092073	0.092073
-18.613861	7.128713	0.998467	-0.001533
-18.613861	7.524752	0.748850	-0.251150
-18.613861	7.920792	0.124808	-0.875192
-18.613861	8.316832	0.000000	-1.000000
-18.613861	8.712871	0.000000	-1.000000
-18.613861	9.108911	0.000000	-1.000000
-18.613861	9.504950	0.000000	-1.000000
-18.613861	9.900990	0.000000	-1.000000
-18.613861	10.297030	0.000000	-1.000000
-18.613861	10.693069	0.000000	-1.000000
-18.613861	11.089109	0.000000	-1.000000
-18.613861	11.485149	0.000000	-1.000000
-18.613861	11.881188	0.000000	-1.000000
-18.613861	12.277228	0.000000	-1.000000
-18.613861	12.673267	0.000000	-1.000000
-18.613861	13.069307	0.000000	-1.000000
-18.613861	13.465347	0.000000	-1.000000
-18.613861	13.861386	0.000000	-1.000000
-18.613861	14.257426	0.000000	-1.000000
-18.613861	14.653465	0.000000	-1.000000
