r (Angstroms)	rho/rho_ideal_gas
3.376365	0.000000	-1.000000
3.386296	0.000000	-1.000000
3.396226	0.012113	-0.987887
3.406157	0.000000	-1.000000
3.416087	0.036129	-0.963871
3.426018	0.024017	-0.975983
3.435948	0.083815	-0.916185
3.445879	0.143270	-0.856730
3.455809	0.166669	-0.833331
3.465740	0.178063	-0.821937
3.475670	0.319599	-0.680401
3.485601	0.377706	-0.622294
3.495531	0.647341	-0.352659
3.505462	0.974133	-0.025867
3.515392	1.357598	0.357598
3.525323	1.843941	0.843941
3.535253	2.420657	1.420657
3.545184	3.133409	2.133409
3.555114	4.004206	3.004206
3.565045	5.377946	4.377946
3.574975	6.790100	5.790100
3.584906	8.664990	7.664990
3.594836	10.094621	9.094621
3.604767	13.000161	12.000161
3.614697	14.751524	13.751524
3.624628	17.980312	16.980312
3.634558	20.082097	19.082097
3.644489	23.312676	22.312676
3.654419	27.268803	26.268803
3.664350	31.405625	30.405625
3.674280	33.560464	32.560464
3.684211	37.959612	36.959612
3.694141	39.684322	38.684322
3.704071	42.721658	41.721658
3.714002	46.717673	45.717673
3.723932	50.029470	49.029470
3.733863	49.444787	48.444787
3.743793	53.611044	52.611044
3.753724	54.675150	53.675150
3.763654	55.832041	54.832041
3.773585	56.819294	55.819294
3.783515	55.550218	54.550218
3.793446	55.036201	54.036201
3.803376	56.158446	55.158446
3.813307	54.814668	53.814668
3.823237	53.015083	52.015083
3.833168	51.579047	50.579047
3.843098	49.582965	48.582965
3.853029	47.458330	46.458330
3.862959	45.152872	44.152872
3.872890	43.709181	42.709181
3.882820	41.329701	40.329701
3.892751	38.106146	37.106146
3.902681	37.598111	36.598111
3.912612	33.495916	32.495916
3.922542	31.869167	30.869167
3.932473	29.361207	28.361207
3.942403	27.846981	26.846981
3.952334	25.455402	24.455402
3.962264	22.795397	21.795397
3.972195	20.055443	19.055443
3.982125	19.003150	18.003150
3.992056	17.358237	16.358237
4.001986	15.474705	14.474705
4.011917	14.287690	13.287690
4.021847	12.871205	11.871205
4.031778	11.553546	10.553546
4.041708	11.046674	10.046674
4.051639	9.049302	8.049302
4.061569	8.419311	7.419311
4.071500	7.165764	6.165764
4.081430	7.097939	6.097939
4.091360	6.024657	5.024657
4.101291	5.337840	4.337840
4.111221	4.724402	3.724402
4.121152	4.473386	3.473386
4.131082	3.725512	2.725512
4.141013	3.676839	2.676839
4.150943	3.360730	2.360730
4.160874	2.798878	1.798878
4.170804	2.466627	1.466627
4.180735	2.421402	1.421402
4.190665	2.386212	1.386212
4.200596	2.057289	1.057289
4.210526	1.749463	0.749463
4.220457	1.696599	0.696599
4.230387	1.420245	0.420245
4.240318	1.339283	0.339283
4.250248	1.113465	0.113465
4.260179	1.023934	0.023934
4.270109	1.002281	0.002281
4.280040	0.961499	-0.038501
4.289970	0.767420	-0.232580
4.299901	0.756079	-0.243921
4.309831	0.792534	-0.207466
4.319762	0.790714	-0.209286
4.329692	0.608310	-0.391690
4.339623	0.682785	-0.317215
4.349553	0.454152	-0.545848
4.359484	0.471998	-0.528002
4.369414	0.602786	-0.397214
4.379345	0.357094	-0.642906
4.389275	0.375039	-0.624961
4.399206	0.449032	-0.550968
4.409136	0.382685	-0.617315
4.419067	0.298011	-0.701989
4.428997	0.353095	-0.646905
4.438928	0.287407	-0.712593
4.448858	0.351520	-0.648480
4.458788	0.332278	-0.667722
4.468719	0.322331	-0.677669
4.478649	0.211349	-0.788651
4.488580	0.220050	-0.779950
4.498510	0.274456	-0.725544
4.508441	0.209954	-0.790046
4.518371	0.245926	-0.754074
4.528302	0.254476	-0.745524
4.538232	0.163234	-0.836766
4.548163	0.199073	-0.800927
4.558093	0.189611	-0.810389
4.568024	0.234247	-0.765753
4.577954	0.224749	-0.775251
4.587885	0.170440	-0.829560
4.597815	0.125316	-0.874684
4.607746	0.187570	-0.812430
4.617676	0.231730	-0.768270
4.627607	0.115617	-0.884383
4.637537	0.097620	-0.902380
4.647468	0.150546	-0.849454
4.657398	0.203246	-0.796754
4.667329	0.114634	-0.885366
4.677259	0.140789	-0.859211
4.687190	0.175613	-0.824387
4.697120	0.148956	-0.851044
4.707051	0.139899	-0.860101
4.716981	0.095978	-0.904022
4.726912	0.104484	-0.895516
4.736842	0.121642	-0.878358
4.746773	0.069365	-0.930635
4.756703	0.138440	-0.861560
