X (Angstroms)	Y (Angstroms)	rho/rho_ideal_gas
-18.613861	-6.336634	0.038781	-0.961219
-18.613861	-5.940594	0.040593	-0.959407
-18.613861	-5.544554	0.043855	-0.956145
-18.613861	-5.148515	0.031894	-0.968106
-18.613861	-4.752475	0.035881	-0.964119
-18.613861	-4.356436	0.034069	-0.965931
-18.613861	-3.960396	0.029357	-0.970643
-18.613861	-3.564356	0.027908	-0.972092
-18.613861	-3.168317	0.034431	-0.965569
-18.613861	-2.772277	0.030807	-0.969193
-18.613861	-2.376238	0.031170	-0.968830
-18.613861	-1.980198	0.041318	-0.958682
-18.613861	-1.584158	0.031170	-0.968830
-18.613861	-1.188119	0.038418	-0.961582
-18.613861	-0.792079	0.033707	-0.966293
-18.613861	-0.396040	0.039143	-0.960857
-18.613861	0.000000	0.034794	-0.965206
-18.613861	0.396040	0.034794	-0.965206
-18.613861	0.792079	0.035156	-0.964844
-18.613861	1.188119	0.030082	-0.969918
-18.613861	1.584158	0.031894	-0.968106
-18.613861	1.980198	0.027908	-0.972092
-18.613861	2.376238	0.034069	-0.965931
-18.613861	2.772277	0.031170	-0.968830
-18.613861	3.168317	0.035519	-0.964481
-18.613861	3.564356	0.035156	-0.964844
-18.613861	3.960396	0.033707	-0.966293
-18.613861	4.356436	0.032619	-0.967381
-18.613861	4.752475	0.036244	-0.963756
-18.613861	5.148515	0.036244	-0.963756
-18.613861	5.544554	0.026820	-0.973180
-18.613861	5.940594	0.034069	-0.965931
-18.613861	6.336634	0.026095	-0.973905
-18.613861	6.732673	0.033344	-0.966656
-18.613861	7.128713	0.026458	-0.973542
-18.613861	7.524752	0.023558	-0.976442
-18.613861	7.920792	0.003987	-0.996013
-18.613861	8.316832	0.000000	-1.000000
-18.613861	8.712871	0.000000	-1.000000
-18.613861	9.108911	0.000000	-1.000000
-18.613861	9.504950	0.000000	-1.000000
-18.613861	9.900990	0.000000	-1.000000
-18.613861	10.297030	0.000000	-1.000000
-18.613861	10.693069	0.000000	-1.000000
-18.613861	11.089109	0.000000	-1.000000
-18.613861	11.485149	0.000000	-1.000000
-18.613861	11.881188	0.000000	-1.000000
-18.613861	12.277228	0.000000	-1.000000
-18.613861	12.673267	0.000000	-1.000000
-18.613861	13.069307	0.000000	-1.000000
-18.613861	13.465347	0.000000	-1.000000
-18.613861	13.861386	0.000000	-1.000000
-18.613861	14.257426	0.000000	-1.000000
-18.613861	14.653465	0.000000	-1.000000
-18.613861	15.049505	0.000000	-1.000000
-18.613861	15.445545	0.000000	-1.000000
-18.613861	15.841584	0.000000	-1.000000
-18.613861	16.237624	0.000000	-1.000000
-18.613861	16.633663	0.000000	-1.000000
-18.613861	17.029703	0.000000	-1.000000
-18.613861	17.425743	0.000000	-1.000000
-18.613861	17.821782	0.000000	-1.000000
-18.613861	18.217822	0.000000	-1.000000
-18.613861	18.613861	0.000000	-1.000000
-18.613861	19.009901	0.000000	-1.000000
-18.613861	19.405941	0.000000	-1.000000
-18.613861	19.801980	0.000000	-1.000000
-18.217822	-19.801980	0.000000	-1.000000
-18.217822	-19.405941	0.000000	-1.000000
-18.217822	-19.009901	0.000000	-1.000000
-18.217822	-18.613861	0.000000	-1.000000
